Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,62122.2799,GWh
January 2023,Net Electricity Production,Nuclear,7488.6815,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,11315.6146,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",3087.1358,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,383.6515,GWh
January 2023,Net Electricity Production,Natural Gas,6925.5332,GWh
January 2023,Net Electricity Production,Combustible Renewables,907.6437,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,11.6502,GWh
January 2023,Net Electricity Production,Hydro,39787.1108,GWh
January 2023,Net Electricity Production,Wind,3206.4003,GWh
January 2023,Net Electricity Production,Solar,290.1393,GWh
January 2023,Net Electricity Production,Not Specified,34.3333,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",44191.2942,GWh
January 2023,Total Imports,Electricity,950.2488,GWh
January 2023,Total Exports,Electricity,5437.0714,GWh
January 2023,Used for pumped storage,Electricity,22.0412,GWh
January 2023,Distribution Losses,Electricity,3206.3869,GWh
January 2023,Final Consumption (Calculated),Electricity,54407.0291,GWh
December 2022,Net Electricity Production,Electricity,61518.8197,GWh
December 2022,Net Electricity Production,Nuclear,6499.5248,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,12203.682,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3748.0076,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,454.3098,GWh
December 2022,Net Electricity Production,Natural Gas,7017.447,GWh
December 2022,Net Electricity Production,Combustible Renewables,971.1091,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,12.8084,GWh
December 2022,Net Electricity Production,Hydro,38808.9988,GWh
December 2022,Net Electricity Production,Wind,3759.2633,GWh
December 2022,Net Electricity Production,Solar,221.601,GWh
December 2022,Net Electricity Production,Not Specified,25.75,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",43760.9721,GWh
December 2022,Total Imports,Electricity,956.718,GWh
December 2022,Total Exports,Electricity,5163.261,GWh
December 2022,Used for pumped storage,Electricity,21.2908,GWh
December 2022,Distribution Losses,Electricity,3293.5636,GWh
December 2022,Final Consumption (Calculated),Electricity,53997.4223,GWh
November 2022,Net Electricity Production,Electricity,53313.159,GWh
November 2022,Net Electricity Production,Nuclear,6153.3923,GWh
November 2022,Net Electricity Production,Total Combustible Fuels,9936.4105,GWh
November 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3051.6808,GWh
November 2022,Net Electricity Production,Oil and Petroleum Products,369.9055,GWh
November 2022,Net Electricity Production,Natural Gas,5713.7047,GWh
November 2022,Net Electricity Production,Combustible Renewables,790.6908,GWh
November 2022,Net Electricity Production,Other Combustible Non-Renewables,10.4288,GWh
November 2022,Net Electricity Production,Hydro,32724.8633,GWh
November 2022,Net Electricity Production,Wind,4122.9702,GWh
November 2022,Net Electricity Production,Solar,349.7727,GWh
November 2022,Net Electricity Production,Not Specified,25.75,GWh
November 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",37988.297,GWh
November 2022,Total Imports,Electricity,1059.452,GWh
November 2022,Total Exports,Electricity,3964.1565,GWh
November 2022,Used for pumped storage,Electricity,17.953,GWh
November 2022,Distribution Losses,Electricity,2892.6603,GWh
November 2022,Final Consumption (Calculated),Electricity,47497.8413,GWh
October 2022,Net Electricity Production,Electricity,47992.6037,GWh
October 2022,Net Electricity Production,Nuclear,5490.2926,GWh
October 2022,Net Electricity Production,Total Combustible Fuels,9641.2178,GWh
October 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2961.0209,GWh
October 2022,Net Electricity Production,Oil and Petroleum Products,358.9163,GWh
October 2022,Net Electricity Production,Natural Gas,5543.9609,GWh
October 2022,Net Electricity Production,Combustible Renewables,767.2008,GWh
October 2022,Net Electricity Production,Other Combustible Non-Renewables,10.119,GWh
October 2022,Net Electricity Production,Hydro,28813.5738,GWh
October 2022,Net Electricity Production,Wind,3417.7461,GWh
October 2022,Net Electricity Production,Solar,604.0233,GWh
October 2022,Net Electricity Production,Not Specified,25.75,GWh
October 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",33602.5441,GWh
October 2022,Total Imports,Electricity,1087.1615,GWh
October 2022,Total Exports,Electricity,4613.5866,GWh
October 2022,Used for pumped storage,Electricity,15.8073,GWh
October 2022,Distribution Losses,Electricity,2544.6922,GWh
October 2022,Final Consumption (Calculated),Electricity,41905.6791,GWh
September 2022,Net Electricity Production,Electricity,47524.3284,GWh
September 2022,Net Electricity Production,Nuclear,7125.8613,GWh
September 2022,Net Electricity Production,Total Combustible Fuels,9423.8321,GWh
September 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2894.2572,GWh
September 2022,Net Electricity Production,Oil and Petroleum Products,350.8236,GWh
September 2022,Net Electricity Production,Natural Gas,5418.9582,GWh
September 2022,Net Electricity Production,Combustible Renewables,749.9023,GWh
September 2022,Net Electricity Production,Other Combustible Non-Renewables,9.8908,GWh
September 2022,Net Electricity Production,Hydro,27909.4623,GWh
September 2022,Net Electricity Production,Wind,2403.2426,GWh
September 2022,Net Electricity Production,Solar,636.1801,GWh
September 2022,Net Electricity Production,Not Specified,25.75,GWh
September 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",31698.7873,GWh
September 2022,Total Imports,Electricity,1061.0574,GWh
September 2022,Total Exports,Electricity,5939.8968,GWh
September 2022,Used for pumped storage,Electricity,15.3113,GWh
September 2022,Distribution Losses,Electricity,2437.626,GWh
September 2022,Final Consumption (Calculated),Electricity,40192.5517,GWh
August 2022,Net Electricity Production,Electricity,53694.7258,GWh
August 2022,Net Electricity Production,Nuclear,8011.8033,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,10739.1692,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3298.2249,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,399.79,GWh
August 2022,Net Electricity Production,Natural Gas,6175.3126,GWh
August 2022,Net Electricity Production,Combustible Renewables,854.5704,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,11.2713,GWh
August 2022,Net Electricity Production,Hydro,32265.0906,GWh
August 2022,Net Electricity Production,Wind,1997.3639,GWh
August 2022,Net Electricity Production,Solar,655.5489,GWh
August 2022,Net Electricity Production,Not Specified,25.75,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35772.5737,GWh
August 2022,Total Imports,Electricity,826.6671,GWh
August 2022,Total Exports,Electricity,8015.3208,GWh
August 2022,Used for pumped storage,Electricity,17.7008,GWh
August 2022,Distribution Losses,Electricity,2659.3834,GWh
August 2022,Final Consumption (Calculated),Electricity,43828.988,GWh
July 2022,Net Electricity Production,Electricity,51842.53,GWh
July 2022,Net Electricity Production,Nuclear,7440.9108,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,10050.1508,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",3086.6128,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,374.1397,GWh
July 2022,Net Electricity Production,Natural Gas,5779.1084,GWh
July 2022,Net Electricity Production,Combustible Renewables,799.7417,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,10.5482,GWh
July 2022,Net Electricity Production,Hydro,31191.1543,GWh
July 2022,Net Electricity Production,Wind,2378.9081,GWh
July 2022,Net Electricity Production,Solar,755.656,GWh
July 2022,Net Electricity Production,Not Specified,25.75,GWh
July 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",35125.46,GWh
July 2022,Total Imports,Electricity,965.3288,GWh
July 2022,Total Exports,Electricity,7486.6207,GWh
July 2022,Used for pumped storage,Electricity,17.1116,GWh
July 2022,Distribution Losses,Electricity,2588.4132,GWh
July 2022,Final Consumption (Calculated),Electricity,42715.7132,GWh
June 2022,Net Electricity Production,Electricity,47611.9639,GWh
June 2022,Net Electricity Production,Nuclear,6858.4742,GWh
June 2022,Net Electricity Production,Total Combustible Fuels,8085.4432,GWh
June 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",2483.2098,GWh
June 2022,Net Electricity Production,Oil and Petroleum Products,300.999,GWh
June 2022,Net Electricity Production,Natural Gas,4649.3484,GWh
June 2022,Net Electricity Production,Combustible Renewables,643.3999,GWh
June 2022,Net Electricity Production,Other Combustible Non-Renewables,8.4861,GWh
June 2022,Net Electricity Production,Hydro,29469.028,GWh
June 2022,Net Electricity Production,Wind,2506.5278,GWh
June 2022,Net Electricity Production,Solar,666.7408,GWh
