SUBJECT,TIME,Value,Flag Codes
TOT,1955-01,4.8,
TOT,1955-02,4.7,
TOT,1955-03,4.9,
TOT,1955-04,4.5,
TOT,1955-05,4.5,
TOT,1955-06,4.3,
TOT,1955-07,4.3,
TOT,1955-08,3.8,
TOT,1955-09,4.1,
TOT,1955-10,4.0,
TOT,1955-11,3.8,
TOT,1955-12,3.7,
TOT,1956-01,3.7,
TOT,1956-02,3.8,
TOT,1956-03,3.6,
TOT,1956-04,3.5,
TOT,1956-05,3.4,
TOT,1956-06,3.2,
TOT,1956-07,3.0,
TOT,1956-08,3.0,
TOT,1956-09,3.1,
TOT,1956-10,2.8,
TOT,1956-11,3.1,
TOT,1956-12,3.4,
TOT,1957-01,3.8,
TOT,1957-02,3.9,
TOT,1957-03,4.1,
TOT,1957-04,4.2,
TOT,1957-05,3.9,
TOT,1957-06,4.3,
TOT,1957-07,4.6,
TOT,1957-08,4.8,
TOT,1957-09,5.4,
TOT,1957-10,5.3,
TOT,1957-11,6.2,
TOT,1957-12,6.5,
TOT,1958-01,6.5,
TOT,1958-02,6.6,
TOT,1958-03,6.9,
TOT,1958-04,6.9,
TOT,1958-05,7.0,
TOT,1958-06,7.9,
TOT,1958-07,7.5,
TOT,1958-08,7.5,
TOT,1958-09,7.1,
TOT,1958-10,7.5,
TOT,1958-11,7.2,
TOT,1958-12,7.0,
TOT,1959-01,6.5,
TOT,1959-02,6.2,
TOT,1959-03,6.0,
TOT,1959-04,5.8,
TOT,1959-05,6.3,
TOT,1959-06,5.6,
TOT,1959-07,5.5,
TOT,1959-08,5.9,
TOT,1959-09,5.4,
TOT,1959-10,5.5,
TOT,1959-11,5.8,
TOT,1959-12,6.0,
TOT,1960-01,6.1,
TOT,1960-02,6.4,
TOT,1960-03,6.5,
TOT,1960-04,6.8,
TOT,1960-05,7.2,
TOT,1960-06,6.7,
TOT,1960-07,7.1,
TOT,1960-08,7.6,
TOT,1960-09,7.5,
TOT,1960-10,7.6,
TOT,1960-11,7.5,
TOT,1960-12,7.6,
TOT,1961-01,7.6,
TOT,1961-02,7.7,
TOT,1961-03,7.6,
TOT,1961-04,7.6,
TOT,1961-05,7.6,
TOT,1961-06,7.4,
TOT,1961-07,7.2,
TOT,1961-08,6.8,
TOT,1961-09,6.9,
TOT,1961-10,6.5,
TOT,1961-11,6.1,
TOT,1961-12,6.0,
TOT,1962-01,6.0,
TOT,1962-02,6.2,
TOT,1962-03,6.0,
TOT,1962-04,5.9,
TOT,1962-05,5.6,
TOT,1962-06,5.7,
TOT,1962-07,6.0,
TOT,1962-08,5.7,
TOT,1962-09,5.7,
TOT,1962-10,5.7,
TOT,1962-11,5.9,
TOT,1962-12,6.0,
TOT,1963-01,5.9,
TOT,1963-02,5.8,
TOT,1963-03,5.9,
TOT,1963-04,5.7,
TOT,1963-05,5.7,
TOT,1963-06,5.5,
TOT,1963-07,5.4,
TOT,1963-08,5.3,
TOT,1963-09,5.3,
TOT,1963-10,5.2,
TOT,1963-11,5.1,
TOT,1963-12,5.0,
TOT,1964-01,4.9,
TOT,1964-02,4.9,
TOT,1964-03,4.8,
TOT,1964-04,4.9,
TOT,1964-05,4.6,
TOT,1964-06,4.8,
TOT,1964-07,4.6,
TOT,1964-08,4.6,
TOT,1964-09,4.5,
TOT,1964-10,4.9,
TOT,1964-11,4.3,
TOT,1964-12,4.1,
TOT,1965-01,4.2,
TOT,1965-02,4.1,
TOT,1965-03,4.1,
TOT,1965-04,4.4,
TOT,1965-05,4.0,
TOT,1965-06,4.1,
TOT,1965-07,3.9,
TOT,1965-08,3.8,
TOT,1965-09,3.6,
TOT,1965-10,3.1,
TOT,1965-11,3.6,
TOT,1965-12,3.5,
TOT,1966-01,3.4,
TOT,1966-02,3.4,
TOT,1966-03,3.3,
TOT,1966-04,3.2,
TOT,1966-05,3.2,
TOT,1966-06,2.9,
TOT,1966-07,3.2,
TOT,1966-08,3.5,
TOT,1966-09,3.6,
TOT,1966-10,3.3,
TOT,1966-11,3.5,
TOT,1966-12,3.4,
TOT,1967-01,3.6,
TOT,1967-02,3.7,
TOT,1967-03,3.8,
TOT,1967-04,3.9,
TOT,1967-05,3.7,
TOT,1967-06,3.6,
TOT,1967-07,3.7,
TOT,1967-08,3.6,
TOT,1967-09,3.7,
TOT,1967-10,4.1,
TOT,1967-11,4.0,
TOT,1967-12,4.4,
TOT,1968-01,4.3,
TOT,1968-02,4.4,
TOT,1968-03,4.6,
TOT,1968-04,4.5,
TOT,1968-05,4.4,
TOT,1968-06,4.7,
TOT,1968-07,4.7,
TOT,1968-08,4.6,
TOT,1968-09,4.3,
TOT,1968-10,4.4,
TOT,1968-11,4.5,
TOT,1968-12,4.5,
TOT,1969-01,4.3,
TOT,1969-02,4.3,
TOT,1969-03,4.2,
TOT,1969-04,4.3,
TOT,1969-05,4.4,
TOT,1969-06,4.4,
TOT,1969-07,4.3,
TOT,1969-08,4.5,
TOT,1969-09,4.4,
TOT,1969-10,4.7,
TOT,1969-11,4.6,
TOT,1969-12,4.5,
TOT,1970-01,4.5,
TOT,1970-02,4.9,
TOT,1970-03,5.2,
TOT,1970-04,5.4,
TOT,1970-05,5.8,
TOT,1970-06,6.1,
TOT,1970-07,6.4,
TOT,1970-08,6.1,
TOT,1970-09,6.0,
TOT,1970-10,6.0,
TOT,1970-11,6.1,
TOT,1970-12,6.2,
TOT,1971-01,6.2,
TOT,1971-02,6.3,
TOT,1971-03,6.2,
TOT,1971-04,6.6,
TOT,1971-05,6.1,
TOT,1971-06,6.1,
TOT,1971-07,6.1,
TOT,1971-08,6.0,
TOT,1971-09,6.2,
TOT,1971-10,6.3,
TOT,1971-11,6.2,
TOT,1971-12,5.9,
TOT,1972-01,6.0,
TOT,1972-02,5.8,
TOT,1972-03,6.1,
TOT,1972-04,5.8,
TOT,1972-05,6.1,
TOT,1972-06,6.3,
TOT,1972-07,6.3,
TOT,1972-08,6.4,
TOT,1972-09,6.4,
TOT,1972-10,6.6,
TOT,1972-11,6.4,
TOT,1972-12,6.4,
TOT,1973-01,6.1,
TOT,1973-02,5.9,
TOT,1973-03,5.6,
TOT,1973-04,5.5,
TOT,1973-05,5.3,
TOT,1973-06,5.4,
TOT,1973-07,5.3,
TOT,1973-08,5.3,
TOT,1973-09,5.6,
TOT,1973-10,5.7,
TOT,1973-11,5.5,
TOT,1973-12,5.4,
TOT,1974-01,5.3,
TOT,1974-02,5.2,
TOT,1974-03,5.2,
TOT,1974-04,5.2,
TOT,1974-05,5.4,
TOT,1974-06,5.0,
TOT,1974-07,5.1,
TOT,1974-08,5.3,
TOT,1974-09,5.4,
TOT,1974-10,5.4,
TOT,1974-11,5.6,
TOT,1974-12,6.0,
TOT,1975-01,6.9,
TOT,1975-02,6.6,
TOT,1975-03,6.6,
TOT,1975-04,6.5,
TOT,1975-05,7.0,
TOT,1975-06,7.0,
TOT,1975-07,6.9,
TOT,1975-08,7.1,
TOT,1975-09,6.9,
TOT,1975-10,7.2,
TOT,1975-11,7.2,
TOT,1975-12,7.0,B
TOT,1976-01,7.1,
TOT,1976-02,7.0,
TOT,1976-03,6.7,
TOT,1976-04,6.8,
TOT,1976-05,6.9,
TOT,1976-06,6.9,
TOT,1976-07,7.4,
TOT,1976-08,7.1,
TOT,1976-09,7.0,
TOT,1976-10,7.4,
TOT,1976-11,7.4,
TOT,1976-12,7.5,
TOT,1977-01,7.6,
TOT,1977-02,7.9,
TOT,1977-03,7.8,
TOT,1977-04,7.9,
TOT,1977-05,7.8,
TOT,1977-06,7.8,
TOT,1977-07,8.1,
TOT,1977-08,8.2,
TOT,1977-09,8.3,
TOT,1977-10,8.4,
TOT,1977-11,8.5,
TOT,1977-12,8.5,
TOT,1978-01,8.3,
TOT,1978-02,8.3,
TOT,1978-03,8.5,
TOT,1978-04,8.4,
TOT,1978-05,8.6,
TOT,1978-06,8.4,
TOT,1978-07,8.3,
TOT,1978-08,8.4,
TOT,1978-09,8.4,
TOT,1978-10,8.2,
TOT,1978-11,8.3,
