Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,49860.284,GWh
January 2023,Net Electricity Production,Nuclear,30770.9589,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,5986.2782,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",465.3879,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,566.9612,GWh
January 2023,Net Electricity Production,Natural Gas,3792.09,GWh
January 2023,Net Electricity Production,Combustible Renewables,986.4328,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
January 2023,Net Electricity Production,Hydro,6432.653,GWh
January 2023,Net Electricity Production,Wind,5862.7384,GWh
January 2023,Net Electricity Production,Solar,716.2013,GWh
January 2023,Net Electricity Production,Geothermal,7.9717,GWh
January 2023,Net Electricity Production,Other Renewables,39.8221,GWh
January 2023,Net Electricity Production,Not Specified,43.6602,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14045.8193,GWh
January 2023,Total Imports,Electricity,4120.663,GWh
January 2023,Total Exports,Electricity,5376.9288,GWh
January 2023,Used for pumped storage,Electricity,698.7874,GWh
January 2023,Distribution Losses,Electricity,4441.9905,GWh
January 2023,Final Consumption (Calculated),Electricity,43463.2404,GWh
December 2022,Net Electricity Production,Electricity,45197.5195,GWh
December 2022,Net Electricity Production,Nuclear,27912.3968,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,7070.9438,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1120.1563,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,622.6504,GWh
December 2022,Net Electricity Production,Natural Gas,4175.0237,GWh
December 2022,Net Electricity Production,Combustible Renewables,977.7069,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
December 2022,Net Electricity Production,Hydro,5137.4371,GWh
December 2022,Net Electricity Production,Wind,4346.8404,GWh
December 2022,Net Electricity Production,Solar,638.4474,GWh
December 2022,Net Electricity Production,Geothermal,7.9717,GWh
December 2022,Net Electricity Production,Other Renewables,39.8221,GWh
December 2022,Net Electricity Production,Not Specified,43.6602,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11148.2256,GWh
December 2022,Total Imports,Electricity,5789.7341,GWh
December 2022,Total Exports,Electricity,3760.5846,GWh
December 2022,Used for pumped storage,Electricity,843.6539,GWh
