SUBJECT,TIME,Value,Flag Codes
TOT,1983-01,8.3,
TOT,1983-02,8.0,
TOT,1983-03,8.0,
TOT,1983-04,8.3,
TOT,1983-05,8.5,
TOT,1983-06,8.8,
TOT,1983-07,8.9,
TOT,1983-08,9.0,
TOT,1983-09,9.1,
TOT,1983-10,9.2,
TOT,1983-11,9.4,
TOT,1983-12,9.6,
TOT,1984-01,9.6,
TOT,1984-02,9.7,
TOT,1984-03,9.8,
TOT,1984-04,9.9,
TOT,1984-05,9.9,
TOT,1984-06,10.0,
TOT,1984-07,10.1,
TOT,1984-08,10.2,
TOT,1984-09,10.3,
TOT,1984-10,10.4,
TOT,1984-11,10.4,
TOT,1984-12,10.5,
TOT,1985-01,10.4,
TOT,1985-02,10.4,
TOT,1985-03,10.4,
TOT,1985-04,10.4,
TOT,1985-05,10.4,
TOT,1985-06,10.4,
TOT,1985-07,10.4,
TOT,1985-08,10.4,
TOT,1985-09,10.4,
TOT,1985-10,10.4,
TOT,1985-11,10.5,
TOT,1985-12,10.5,
TOT,1986-01,10.4,
TOT,1986-02,10.3,
TOT,1986-03,10.4,
TOT,1986-04,10.4,
TOT,1986-05,10.5,
TOT,1986-06,10.5,
TOT,1986-07,10.6,
TOT,1986-08,10.6,
TOT,1986-09,10.7,
TOT,1986-10,10.8,
TOT,1986-11,10.8,
TOT,1986-12,10.9,
TOT,1987-01,10.8,
TOT,1987-02,10.8,
TOT,1987-03,10.8,
TOT,1987-04,10.7,
TOT,1987-05,10.7,
TOT,1987-06,10.6,
TOT,1987-07,10.6,
TOT,1987-08,10.6,
TOT,1987-09,10.5,
TOT,1987-10,10.5,
TOT,1987-11,10.5,
TOT,1987-12,10.5,
TOT,1988-01,10.3,
TOT,1988-02,10.3,
TOT,1988-03,10.2,
TOT,1988-04,10.2,
TOT,1988-05,10.1,
TOT,1988-06,10.1,
TOT,1988-07,10.0,
TOT,1988-08,10.0,
TOT,1988-09,10.0,
TOT,1988-10,9.9,
TOT,1988-11,9.9,
TOT,1988-12,9.9,
TOT,1989-01,9.8,
TOT,1989-02,9.7,
TOT,1989-03,9.7,
TOT,1989-04,9.7,
TOT,1989-05,9.7,
TOT,1989-06,9.6,
TOT,1989-07,9.6,
TOT,1989-08,9.6,
TOT,1989-09,9.6,
TOT,1989-10,9.6,
