Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,49828.306,GWh
January 2023,Net Electricity Production,Nuclear,1726.5989,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,27829.9372,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",15134.2836,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,420.4028,GWh
January 2023,Net Electricity Production,Natural Gas,7939.0457,GWh
January 2023,Net Electricity Production,Combustible Renewables,3860.0036,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,476.2014,GWh
January 2023,Net Electricity Production,Hydro,2081.3454,GWh
January 2023,Net Electricity Production,Wind,17201.554,GWh
January 2023,Net Electricity Production,Solar,901.8999,GWh
January 2023,Net Electricity Production,Geothermal,10.875,GWh
January 2023,Net Electricity Production,Not Specified,76.0956,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",24055.6779,GWh
January 2023,Total Imports,Electricity,4231.8009,GWh
January 2023,Total Exports,Electricity,8017.464,GWh
January 2023,Used for pumped storage,Electricity,811.5235,GWh
January 2023,Distribution Losses,Electricity,2616.2649,GWh
January 2023,Final Consumption (Calculated),Electricity,42614.8545,GWh
December 2022,Net Electricity Production,Electricity,47391.8715,GWh
December 2022,Net Electricity Production,Nuclear,2702.1869,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,30090.4241,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",16873.6634,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,434.132,GWh
December 2022,Net Electricity Production,Natural Gas,8508.241,GWh
December 2022,Net Electricity Production,Combustible Renewables,3858.6525,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,415.7351,GWh
December 2022,Net Electricity Production,Hydro,1950.7081,GWh
December 2022,Net Electricity Production,Wind,11865.3642,GWh
December 2022,Net Electricity Production,Solar,691.2992,GWh
December 2022,Net Electricity Production,Geothermal,14.2212,GWh
December 2022,Net Electricity Production,Not Specified,77.6679,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",18380.2452,GWh
December 2022,Total Imports,Electricity,3829.8533,GWh
December 2022,Total Exports,Electricity,7661.1061,GWh
December 2022,Used for pumped storage,Electricity,976.0265,GWh
December 2022,Distribution Losses,Electricity,2472.661,GWh
December 2022,Final Consumption (Calculated),Electricity,40111.9312,GWh
November 2022,Net Electricity Production,Electricity,46139.9909,GWh
November 2022,Net Electricity Production,Nuclear,2831.6764,GWh
November 2022,Net Electricity Production,Total Combustible Fuels,26888.3006,GWh
November 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",16021.6001,GWh
November 2022,Net Electricity Production,Oil and Petroleum Products,398.5789,GWh
November 2022,Net Electricity Production,Natural Gas,6329.4788,GWh
November 2022,Net Electricity Production,Combustible Renewables,3694.3782,GWh
November 2022,Net Electricity Production,Other Combustible Non-Renewables,444.2646,GWh
November 2022,Net Electricity Production,Hydro,1848.0426,GWh
November 2022,Net Electricity Production,Wind,12707.6513,GWh
November 2022,Net Electricity Production,Solar,1792.467,GWh
November 2022,Net Electricity Production,Geothermal,13.3846,GWh
November 2022,Net Electricity Production,Not Specified,58.4684,GWh
November 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",20055.9238,GWh
November 2022,Total Imports,Electricity,4188.4344,GWh
November 2022,Total Exports,Electricity,7079.6506,GWh
November 2022,Used for pumped storage,Electricity,945.0612,GWh
