Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,21780.1288,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,15667.2056,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",1338.0751,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,650.572,GWh
January 2023,Net Electricity Production,Natural Gas,12090.8607,GWh
January 2023,Net Electricity Production,Combustible Renewables,1387.906,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,199.7918,GWh
January 2023,Net Electricity Production,Hydro,2246.8429,GWh
January 2023,Net Electricity Production,Wind,2288.5511,GWh
January 2023,Net Electricity Production,Solar,1075.9848,GWh
January 2023,Net Electricity Production,Geothermal,458.5392,GWh
January 2023,Net Electricity Production,Not Specified,43.0052,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7457.8239,GWh
January 2023,Total Imports,Electricity,5081.1672,GWh
January 2023,Total Exports,Electricity,353.2036,GWh
January 2023,Used for pumped storage,Electricity,201.2918,GWh
January 2023,Distribution Losses,Electricity,1553.0938,GWh
January 2023,Final Consumption (Calculated),Electricity,24753.7069,GWh
December 2022,Net Electricity Production,Electricity,22662.1983,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,17173.6483,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1454.2824,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,707.072,GWh
December 2022,Net Electricity Production,Natural Gas,13140.911,GWh
December 2022,Net Electricity Production,Combustible Renewables,1654.2399,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,217.1431,GWh
December 2022,Net Electricity Production,Hydro,2452.4827,GWh
December 2022,Net Electricity Production,Wind,1728.7255,GWh
December 2022,Net Electricity Production,Solar,803.795,GWh
December 2022,Net Electricity Production,Geothermal,460.5415,GWh
December 2022,Net Electricity Production,Not Specified,43.0052,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7099.7846,GWh
December 2022,Total Imports,Electricity,3323.7635,GWh
December 2022,Total Exports,Electricity,663.2601,GWh
December 2022,Used for pumped storage,Electricity,179.6142,GWh
December 2022,Distribution Losses,Electricity,1482.4691,GWh
December 2022,Final Consumption (Calculated),Electricity,23660.6184,GWh
November 2022,Net Electricity Production,Electricity,21129.9867,GWh
November 2022,Net Electricity Production,Total Combustible Fuels,15080.5282,GWh
November 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1285.3014,GWh
November 2022,Net Electricity Production,Oil and Petroleum Products,624.9135,GWh
November 2022,Net Electricity Production,Natural Gas,11613.9972,GWh
November 2022,Net Electricity Production,Combustible Renewables,1364.404,GWh
November 2022,Net Electricity Production,Other Combustible Non-Renewables,191.912,GWh
November 2022,Net Electricity Production,Hydro,2412.9755,GWh
November 2022,Net Electricity Production,Wind,1964.9176,GWh
November 2022,Net Electricity Production,Solar,1186.0399,GWh
November 2022,Net Electricity Production,Geothermal,442.5203,GWh
November 2022,Net Electricity Production,Not Specified,43.0052,GWh
November 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7370.8574,GWh
November 2022,Total Imports,Electricity,4553.0459,GWh
November 2022,Total Exports,Electricity,340.1591,GWh
November 2022,Used for pumped storage,Electricity,204.3886,GWh
November 2022,Distribution Losses,Electricity,1484.7093,GWh
November 2022,Final Consumption (Calculated),Electricity,23653.7756,GWh
October 2022,Net Electricity Production,Electricity,21547.914,GWh
October 2022,Net Electricity Production,Total Combustible Fuels,15952.997,GWh
October 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1348.5113,GWh
October 2022,Net Electricity Production,Oil and Petroleum Products,655.6462,GWh
October 2022,Net Electricity Production,Natural Gas,12185.1628,GWh
October 2022,Net Electricity Production,Combustible Renewables,1562.3266,GWh
October 2022,Net Electricity Production,Other Combustible Non-Renewables,201.3501,GWh
October 2022,Net Electricity Production,Hydro,1958.1367,GWh
October 2022,Net Electricity Production,Wind,1085.4788,GWh
October 2022,Net Electricity Production,Solar,2050.7582,GWh
October 2022,Net Electricity Production,Geothermal,457.538,GWh
October 2022,Net Electricity Production,Not Specified,43.0052,GWh
October 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7114.2383,GWh
October 2022,Total Imports,Electricity,4008.9209,GWh
October 2022,Total Exports,Electricity,475.6207,GWh
October 2022,Used for pumped storage,Electricity,217.808,GWh
October 2022,Distribution Losses,Electricity,1470.5018,GWh
October 2022,Final Consumption (Calculated),Electricity,23392.9043,GWh
September 2022,Net Electricity Production,Electricity,22789.5258,GWh
September 2022,Net Electricity Production,Total Combustible Fuels,15959.0349,GWh
September 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1365.3117,GWh
September 2022,Net Electricity Production,Oil and Petroleum Products,663.8145,GWh
September 2022,Net Electricity Production,Natural Gas,12336.9714,GWh
September 2022,Net Electricity Production,Combustible Renewables,1389.0786,GWh
September 2022,Net Electricity Production,Other Combustible Non-Renewables,203.8586,GWh
September 2022,Net Electricity Production,Hydro,2253.9339,GWh
September 2022,Net Electricity Production,Wind,1732.7458,GWh
September 2022,Net Electricity Production,Solar,2360.2881,GWh
September 2022,Net Electricity Production,Geothermal,440.518,GWh
September 2022,Net Electricity Production,Not Specified,43.0052,GWh
September 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",8176.5643,GWh
September 2022,Total Imports,Electricity,3897.8954,GWh
September 2022,Total Exports,Electricity,289.9882,GWh
September 2022,Used for pumped storage,Electricity,233.292,GWh
September 2022,Distribution Losses,Electricity,1547.9649,GWh
September 2022,Final Consumption (Calculated),Electricity,24616.1761,GWh
August 2022,Net Electricity Production,Electricity,23547.3618,GWh
August 2022,Net Electricity Production,Total Combustible Fuels,15957.0222,GWh
August 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1347.3118,GWh
August 2022,Net Electricity Production,Oil and Petroleum Products,655.0629,GWh
August 2022,Net Electricity Production,Natural Gas,12174.3237,GWh
August 2022,Net Electricity Production,Combustible Renewables,1579.1528,GWh
August 2022,Net Electricity Production,Other Combustible Non-Renewables,201.171,GWh
August 2022,Net Electricity Production,Hydro,2800.956,GWh
August 2022,Net Electricity Production,Wind,1217.1433,GWh
August 2022,Net Electricity Production,Solar,3072.6981,GWh
August 2022,Net Electricity Production,Geothermal,456.5368,GWh
August 2022,Net Electricity Production,Not Specified,43.0052,GWh
August 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9126.4872,GWh
August 2022,Total Imports,Electricity,3159.7258,GWh
August 2022,Total Exports,Electricity,372.2685,GWh
August 2022,Used for pumped storage,Electricity,230.1952,GWh
August 2022,Distribution Losses,Electricity,1544.7815,GWh
August 2022,Final Consumption (Calculated),Electricity,24559.8424,GWh
July 2022,Net Electricity Production,Electricity,26759.6713,GWh
July 2022,Net Electricity Production,Total Combustible Fuels,18252.4103,GWh
July 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1584.1882,GWh
July 2022,Net Electricity Production,Oil and Petroleum Products,770.2322,GWh
July 2022,Net Electricity Production,Natural Gas,14314.7414,GWh
July 2022,Net Electricity Production,Combustible Renewables,1346.7087,GWh
July 2022,Net Electricity Production,Other Combustible Non-Renewables,236.5397,GWh
July 2022,Net Electricity Production,Hydro,3566.7871,GWh
July 2022,Net Electricity Production,Wind,1032.2099,GWh
July 2022,Net Electricity Production,Solar,3410.7244,GWh
July 2022,Net Electricity Production,Geothermal,454.5345,GWh
