SUBJECT,TIME,Value,Flag Codes
TOT,1983-01,6.9,P
TOT,1983-02,7.1,P
TOT,1983-03,7.2,P
TOT,1983-04,7.2,P
TOT,1983-05,7.3,P
TOT,1983-06,7.3,P
TOT,1983-07,7.4,P
TOT,1983-08,7.4,P
TOT,1983-09,7.5,P
TOT,1983-10,7.6,P
TOT,1983-11,7.7,P
TOT,1983-12,7.8,P
TOT,1984-01,7.9,P
TOT,1984-02,7.9,P
TOT,1984-03,7.8,P
TOT,1984-04,7.9,P
TOT,1984-05,7.8,P
TOT,1984-06,7.8,P
TOT,1984-07,7.8,P
TOT,1984-08,7.8,P
TOT,1984-09,7.8,P
TOT,1984-10,7.8,P
TOT,1984-11,7.8,P
TOT,1984-12,7.9,P
TOT,1985-01,8.0,P
TOT,1985-02,8.0,P
TOT,1985-03,8.0,P
TOT,1985-04,8.0,P
TOT,1985-05,8.0,P
TOT,1985-06,8.1,P
TOT,1985-07,8.2,P
TOT,1985-08,8.2,P
TOT,1985-09,8.3,P
TOT,1985-10,8.3,P
TOT,1985-11,8.4,P
TOT,1985-12,8.5,P
TOT,1986-01,8.5,P
TOT,1986-02,8.6,P
TOT,1986-03,8.6,P
TOT,1986-04,8.7,P
TOT,1986-05,8.8,P
TOT,1986-06,8.8,P
TOT,1986-07,8.9,P
TOT,1986-08,9.0,P
TOT,1986-09,9.1,P
TOT,1986-10,9.1,P
TOT,1986-11,9.1,P
TOT,1986-12,9.2,P
TOT,1987-01,9.2,P
TOT,1987-02,9.3,P
TOT,1987-03,9.3,P
TOT,1987-04,9.4,P
TOT,1987-05,9.7,P
TOT,1987-06,9.9,P
TOT,1987-07,9.8,P
TOT,1987-08,9.8,P
TOT,1987-09,9.8,P
TOT,1987-10,9.8,P
TOT,1987-11,9.7,P
TOT,1987-12,9.7,P
TOT,1988-01,9.7,P
TOT,1988-02,9.7,P
TOT,1988-03,9.7,P
TOT,1988-04,9.7,P
TOT,1988-05,9.6,P
TOT,1988-06,9.6,P
TOT,1988-07,9.6,P
TOT,1988-08,9.6,P
TOT,1988-09,9.6,P
TOT,1988-10,9.8,P
TOT,1988-11,9.8,P
TOT,1988-12,9.8,P
TOT,1989-01,9.8,P
TOT,1989-02,9.8,P
TOT,1989-03,9.8,P
TOT,1989-04,9.8,P
TOT,1989-05,9.8,P
TOT,1989-06,9.8,P
TOT,1989-07,9.8,P
TOT,1989-08,9.7,P
TOT,1989-09,9.6,P
TOT,1989-10,9.4,P
TOT,1989-11,9.4,P
TOT,1989-12,9.3,P
TOT,1990-01,9.1,P
TOT,1990-02,9.0,P
TOT,1990-03,8.9,P
TOT,1990-04,8.9,P
TOT,1990-05,8.9,P
TOT,1990-06,8.9,P
TOT,1990-07,8.8,P
TOT,1990-08,8.8,P
TOT,1990-09,8.8,P
TOT,1990-10,8.8,P
TOT,1990-11,8.7,P
TOT,1990-12,8.7,P
TOT,1991-01,8.7,P
TOT,1991-02,8.6,P
TOT,1991-03,8.6,P
TOT,1991-04,8.5,P
TOT,1991-05,8.5,P
TOT,1991-06,8.4,P
TOT,1991-07,8.4,P
TOT,1991-08,8.4,P
TOT,1991-09,8.5,P
TOT,1991-10,8.5,P
TOT,1991-11,8.7,P
TOT,1991-12,8.6,P
TOT,1992-01,8.6,
TOT,1992-02,8.7,
TOT,1992-03,8.7,
TOT,1992-04,8.7,
TOT,1992-05,8.6,
TOT,1992-06,8.7,
TOT,1992-07,8.9,
TOT,1992-08,9.0,
TOT,1992-09,9.1,
TOT,1992-10,8.9,
TOT,1992-11,8.9,
TOT,1992-12,8.9,
TOT,1993-01,9.0,
TOT,1993-02,9.1,
TOT,1993-03,9.3,
TOT,1993-04,9.7,
TOT,1993-05,9.8,
TOT,1993-06,9.9,
TOT,1993-07,9.9,
TOT,1993-08,10.0,
TOT,1993-09,10.0,
TOT,1993-10,10.4,
TOT,1993-11,10.4,
TOT,1993-12,10.5,
TOT,1994-01,10.4,
TOT,1994-02,10.4,
TOT,1994-03,10.5,
TOT,1994-04,10.5,
TOT,1994-05,10.6,
TOT,1994-06,10.6,
TOT,1994-07,10.4,
TOT,1994-08,10.4,
TOT,1994-09,10.4,
TOT,1994-10,11.1,
TOT,1994-11,11.1,
TOT,1994-12,11.2,
TOT,1995-01,11.2,
TOT,1995-02,11.2,
TOT,1995-03,11.3,
TOT,1995-04,11.1,
TOT,1995-05,11.1,
TOT,1995-06,11.1,
TOT,1995-07,11.1,
TOT,1995-08,11.2,
TOT,1995-09,11.2,
TOT,1995-10,11.1,
TOT,1995-11,11.1,
TOT,1995-12,11.1,
TOT,1996-01,11.0,
TOT,1996-02,11.0,
TOT,1996-03,11.0,
TOT,1996-04,11.3,
TOT,1996-05,11.3,
TOT,1996-06,11.3,
TOT,1996-07,11.1,
TOT,1996-08,11.1,
TOT,1996-09,11.1,
TOT,1996-10,11.2,
TOT,1996-11,11.2,
TOT,1996-12,11.2,
TOT,1997-01,11.2,
TOT,1997-02,11.3,
TOT,1997-03,11.3,
TOT,1997-04,11.4,
TOT,1997-05,11.4,
TOT,1997-06,11.4,
TOT,1997-07,11.0,
TOT,1997-08,11.0,
TOT,1997-09,11.0,
TOT,1997-10,11.3,
TOT,1997-11,11.3,
TOT,1997-12,11.3,
TOT,1998-01,11.1,
TOT,1998-02,11.1,
TOT,1998-03,11.1,
TOT,1998-04,11.5,
TOT,1998-05,11.5,
TOT,1998-06,11.5,
TOT,1998-07,11.3,
TOT,1998-08,11.3,
TOT,1998-09,11.3,
TOT,1998-10,11.5,
TOT,1998-11,11.4,
TOT,1998-12,11.4,
TOT,1999-01,11.1,
TOT,1999-02,11.1,
TOT,1999-03,11.1,
TOT,1999-04,11.1,
TOT,1999-05,11.1,
