Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,94796.1654,GWh
January 2023,Net Electricity Production,Nuclear,6524.1754,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,74545.2311,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",31430.2771,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,3852.2483,GWh
January 2023,Net Electricity Production,Natural Gas,35093.3228,GWh
January 2023,Net Electricity Production,Combustible Renewables,2332.6962,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,1836.6867,GWh
January 2023,Net Electricity Production,Hydro,5133.8929,GWh
January 2023,Net Electricity Production,Wind,1037.0804,GWh
January 2023,Net Electricity Production,Solar,5810.5189,GWh
January 2023,Net Electricity Production,Geothermal,246.3326,GWh
January 2023,Net Electricity Production,Not Specified,1498.9342,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14560.5209,GWh
January 2023,Used for pumped storage,Electricity,949.1114,GWh
January 2023,Distribution Losses,Electricity,4698.905,GWh
January 2023,Final Consumption (Calculated),Electricity,89148.1489,GWh
December 2022,Net Electricity Production,Electricity,89995.0815,GWh
December 2022,Net Electricity Production,Nuclear,5628.009,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,71006.4016,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",29352.3047,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,4389.56,GWh
December 2022,Net Electricity Production,Natural Gas,32011.5409,GWh
December 2022,Net Electricity Production,Combustible Renewables,3374.1548,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,1878.8412,GWh
December 2022,Net Electricity Production,Hydro,5070.4191,GWh
December 2022,Net Electricity Production,Wind,1285.2343,GWh
December 2022,Net Electricity Production,Solar,5257.5457,GWh
December 2022,Net Electricity Production,Geothermal,248.5377,GWh
December 2022,Net Electricity Production,Not Specified,1498.9342,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",15235.8915,GWh
December 2022,Used for pumped storage,Electricity,860.4561,GWh
December 2022,Distribution Losses,Electricity,5633.159,GWh
December 2022,Final Consumption (Calculated),Electricity,83501.4664,GWh
November 2022,Net Electricity Production,Electricity,73705.3197,GWh
November 2022,Net Electricity Production,Nuclear,4485.9918,GWh
November 2022,Net Electricity Production,Total Combustible Fuels,55899.4934,GWh
