SUBJECT,TIME,Value,Flag Codes
TOT,1955-01,2.6,
TOT,1955-02,2.5,
TOT,1955-03,2.3,
TOT,1955-04,2.5,
TOT,1955-05,2.4,
TOT,1955-06,2.6,
TOT,1955-07,2.6,
TOT,1955-08,2.6,
TOT,1955-09,2.6,
TOT,1955-10,2.7,
TOT,1955-11,2.4,
TOT,1955-12,2.4,
TOT,1956-01,2.5,
TOT,1956-02,2.6,
TOT,1956-03,2.7,
TOT,1956-04,2.4,
TOT,1956-05,2.3,
TOT,1956-06,2.2,
TOT,1956-07,2.1,
TOT,1956-08,2.1,
TOT,1956-09,2.2,
TOT,1956-10,2.0,
TOT,1956-11,2.2,
TOT,1956-12,2.3,
TOT,1957-01,2.1,
TOT,1957-02,2.0,
TOT,1957-03,2.0,
TOT,1957-04,2.0,
TOT,1957-05,1.9,
TOT,1957-06,1.8,
TOT,1957-07,1.8,
TOT,1957-08,1.8,
TOT,1957-09,2.0,
TOT,1957-10,2.0,
TOT,1957-11,1.9,
TOT,1957-12,1.8,
TOT,1958-01,1.9,
TOT,1958-02,1.9,
TOT,1958-03,2.0,
TOT,1958-04,2.0,
TOT,1958-05,2.0,
TOT,1958-06,2.2,
TOT,1958-07,2.1,
TOT,1958-08,2.2,
TOT,1958-09,2.2,
TOT,1958-10,2.1,
TOT,1958-11,2.1,
TOT,1958-12,2.1,
TOT,1959-01,2.4,
TOT,1959-02,2.5,
TOT,1959-03,2.4,
TOT,1959-04,2.2,
TOT,1959-05,2.2,
TOT,1959-06,2.3,
TOT,1959-07,2.3,
TOT,1959-08,2.3,
TOT,1959-09,2.0,
TOT,1959-10,1.9,
TOT,1959-11,2.0,
TOT,1959-12,2.0,
TOT,1960-01,1.9,
TOT,1960-02,1.7,
TOT,1960-03,1.7,
TOT,1960-04,1.7,
TOT,1960-05,1.7,
TOT,1960-06,1.6,
TOT,1960-07,1.5,
TOT,1960-08,1.6,
TOT,1960-09,1.6,
TOT,1960-10,1.4,
TOT,1960-11,1.5,
TOT,1960-12,1.5,
TOT,1961-01,1.5,
TOT,1961-02,1.5,
TOT,1961-03,1.3,
TOT,1961-04,1.4,
TOT,1961-05,1.5,
TOT,1961-06,1.5,
TOT,1961-07,1.5,
TOT,1961-08,1.4,
TOT,1961-09,1.4,
TOT,1961-10,1.4,
TOT,1961-11,1.5,
TOT,1961-12,1.4,
TOT,1962-01,1.3,
TOT,1962-02,1.3,
TOT,1962-03,1.3,
TOT,1962-04,1.4,
TOT,1962-05,1.2,
TOT,1962-06,1.3,
TOT,1962-07,1.3,
TOT,1962-08,1.2,
TOT,1962-09,1.2,
TOT,1962-10,1.4,
TOT,1962-11,1.3,
TOT,1962-12,1.3,
TOT,1963-01,1.4,
TOT,1963-02,1.4,
TOT,1963-03,1.4,
TOT,1963-04,1.2,
TOT,1963-05,1.3,
TOT,1963-06,1.1,
TOT,1963-07,1.1,
TOT,1963-08,1.2,
TOT,1963-09,1.3,
TOT,1963-10,1.2,
TOT,1963-11,1.2,
TOT,1963-12,1.3,
TOT,1964-01,1.2,
TOT,1964-02,1.3,
TOT,1964-03,1.2,
TOT,1964-04,1.2,
TOT,1964-05,1.1,
TOT,1964-06,1.2,
TOT,1964-07,1.2,
TOT,1964-08,1.2,
TOT,1964-09,1.1,
TOT,1964-10,1.1,
TOT,1964-11,1.1,
TOT,1964-12,1.1,
TOT,1965-01,1.1,
TOT,1965-02,1.2,
TOT,1965-03,1.1,
TOT,1965-04,1.2,
TOT,1965-05,1.2,
TOT,1965-06,1.3,
TOT,1965-07,1.3,
TOT,1965-08,1.2,
TOT,1965-09,1.3,
TOT,1965-10,1.3,
TOT,1965-11,1.3,
TOT,1965-12,1.3,
TOT,1966-01,1.4,
TOT,1966-02,1.3,
