Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,28615.8556,GWh
January 2023,Net Electricity Production,Nuclear,3649.7925,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,12832.706,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",636.1187,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,192.1628,GWh
January 2023,Net Electricity Production,Natural Gas,8662.9052,GWh
January 2023,Net Electricity Production,Combustible Renewables,2857.4106,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,484.1086,GWh
January 2023,Net Electricity Production,Hydro,1107.8443,GWh
January 2023,Net Electricity Production,Wind,10217.6505,GWh
January 2023,Net Electricity Production,Solar,807.4064,GWh
January 2023,Net Electricity Production,Other Renewables,0.4559,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",14990.7678,GWh
January 2023,Total Imports,Electricity,2803.3935,GWh
January 2023,Total Exports,Electricity,851.0515,GWh
January 2023,Used for pumped storage,Electricity,357.3467,GWh
January 2023,Distribution Losses,Electricity,3129.2663,GWh
January 2023,Final Consumption (Calculated),Electricity,27081.5845,GWh
December 2022,Net Electricity Production,Electricity,28317.0645,GWh
December 2022,Net Electricity Production,Nuclear,4006.275,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,14972.9893,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",911.1788,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,223.9784,GWh
December 2022,Net Electricity Production,Natural Gas,10405.7913,GWh
December 2022,Net Electricity Production,Combustible Renewables,2946.3822,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,485.6587,GWh
December 2022,Net Electricity Production,Hydro,781.0772,GWh
December 2022,Net Electricity Production,Wind,8132.667,GWh
December 2022,Net Electricity Production,Solar,423.6001,GWh
December 2022,Net Electricity Production,Other Renewables,0.4559,GWh
December 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",12284.1824,GWh
December 2022,Total Imports,Electricity,2154.914,GWh
December 2022,Total Exports,Electricity,947.0865,GWh
December 2022,Used for pumped storage,Electricity,284.9193,GWh
December 2022,Distribution Losses,Electricity,2581.6683,GWh
December 2022,Final Consumption (Calculated),Electricity,26658.3044,GWh
November 2022,Net Electricity Production,Electricity,27735.4934,GWh
November 2022,Net Electricity Production,Nuclear,3120.8733,GWh
November 2022,Net Electricity Production,Total Combustible Fuels,14146.7358,GWh
November 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",270.9724,GWh
