SUBJECT,TIME,Value,Flag Codes
TOT,1983-01,10.7,
TOT,1983-02,10.8,
TOT,1983-03,10.8,
TOT,1983-04,11.0,
TOT,1983-05,10.9,
TOT,1983-06,11.0,
TOT,1983-07,10.9,
TOT,1983-08,10.9,
TOT,1983-09,10.9,
TOT,1983-10,10.8,
TOT,1983-11,10.8,
TOT,1983-12,10.8,
TOT,1984-01,10.7,
TOT,1984-02,10.8,
TOT,1984-03,10.7,
TOT,1984-04,10.7,
TOT,1984-05,10.7,
TOT,1984-06,10.8,
TOT,1984-07,10.9,
TOT,1984-08,10.9,
TOT,1984-09,11.0,
TOT,1984-10,11.0,
TOT,1984-11,11.1,
TOT,1984-12,11.1,
TOT,1985-01,11.2,
TOT,1985-02,11.2,
TOT,1985-03,11.2,
TOT,1985-04,11.3,
TOT,1985-05,11.3,
TOT,1985-06,11.2,
TOT,1985-07,11.2,
TOT,1985-08,11.2,
TOT,1985-09,11.2,
TOT,1985-10,11.2,
TOT,1985-11,11.1,
TOT,1985-12,11.2,
TOT,1986-01,11.2,
TOT,1986-02,11.1,
TOT,1986-03,11.2,
TOT,1986-04,11.3,
TOT,1986-05,11.3,
TOT,1986-06,11.3,
TOT,1986-07,11.3,
TOT,1986-08,11.3,
TOT,1986-09,11.3,
TOT,1986-10,11.2,
TOT,1986-11,11.2,
TOT,1986-12,11.2,
TOT,1987-01,11.1,
TOT,1987-02,11.0,
TOT,1987-03,10.9,
TOT,1987-04,10.8,
TOT,1987-05,10.6,
TOT,1987-06,10.5,
TOT,1987-07,10.3,
TOT,1987-08,10.1,
TOT,1987-09,10.0,
TOT,1987-10,9.8,
TOT,1987-11,9.6,
TOT,1987-12,9.4,
TOT,1988-01,9.2,
TOT,1988-02,9.1,
TOT,1988-03,8.9,
TOT,1988-04,8.8,
TOT,1988-05,8.7,
TOT,1988-06,8.5,
TOT,1988-07,8.4,
TOT,1988-08,8.3,
TOT,1988-09,8.4,
TOT,1988-10,8.0,
TOT,1988-11,7.9,
TOT,1988-12,7.7,
TOT,1989-01,7.6,
TOT,1989-02,7.5,
TOT,1989-03,7.4,
TOT,1989-04,7.2,
TOT,1989-05,7.1,
TOT,1989-06,7.0,
TOT,1989-07,7.0,
TOT,1989-08,7.0,
TOT,1989-09,6.9,
TOT,1989-10,6.8,
TOT,1989-11,6.8,
TOT,1989-12,6.8,
TOT,1990-01,6.8,
TOT,1990-02,6.8,
TOT,1990-03,6.7,
TOT,1990-04,6.8,
TOT,1990-05,6.7,
TOT,1990-06,6.7,
TOT,1990-07,6.8,
TOT,1990-08,6.8,
TOT,1990-09,6.9,
TOT,1990-10,7.0,
TOT,1990-11,7.1,
TOT,1990-12,7.4,
TOT,1991-01,7.5,
TOT,1991-02,7.7,
TOT,1991-03,8.1,
TOT,1991-04,8.3,
TOT,1991-05,8.5,
TOT,1991-06,8.6,
TOT,1991-07,8.8,
TOT,1991-08,9.0,
TOT,1991-09,9.0,
TOT,1991-10,9.0,
TOT,1991-11,9.1,
TOT,1991-12,9.2,
TOT,1992-01,9.3,
TOT,1992-02,9.3,
TOT,1992-03,9.3,
