Time,Balance,Product,Value,Unit
January 2023,Net Electricity Production,Electricity,352140.2846,GWh
January 2023,Net Electricity Production,Nuclear,70835.3922,GWh
January 2023,Net Electricity Production,Total Combustible Fuels,206461.5396,GWh
January 2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",63181.325,GWh
January 2023,Net Electricity Production,Oil and Petroleum Products,2478.2825,GWh
January 2023,Net Electricity Production,Natural Gas,135489.5848,GWh
January 2023,Net Electricity Production,Combustible Renewables,4613.7796,GWh
January 2023,Net Electricity Production,Other Combustible Non-Renewables,698.5677,GWh
January 2023,Net Electricity Production,Hydro,23501.7484,GWh
January 2023,Net Electricity Production,Wind,39139.6361,GWh
January 2023,Net Electricity Production,Solar,10617.7127,GWh
January 2023,Net Electricity Production,Geothermal,1382.4329,GWh
January 2023,Net Electricity Production,Not Specified,201.8227,GWh
January 2023,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",79255.3097,GWh
January 2023,Total Imports,Electricity,5089.5379,GWh
January 2023,Total Exports,Electricity,1112.2989,GWh
January 2023,Used for pumped storage,Electricity,2202.4634,GWh
January 2023,Distribution Losses,Electricity,17322.571,GWh
January 2023,Final Consumption (Calculated),Electricity,336592.4892,GWh
December 2022,Net Electricity Production,Electricity,369604.0598,GWh
December 2022,Net Electricity Production,Nuclear,69060.3285,GWh
December 2022,Net Electricity Production,Total Combustible Fuels,227783.0445,GWh
December 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",76638.1097,GWh
December 2022,Net Electricity Production,Oil and Petroleum Products,7130.2964,GWh
December 2022,Net Electricity Production,Natural Gas,138701.269,GWh
December 2022,Net Electricity Production,Combustible Renewables,4604.4592,GWh
December 2022,Net Electricity Production,Other Combustible Non-Renewables,708.9101,GWh
December 2022,Net Electricity Production,Hydro,22536.6848,GWh
December 2022,Net Electricity Production,Wind,39343.876,GWh
December 2022,Net Electricity Production,Solar,9172.6849,GWh
December 2022,Net Electricity Production,Geothermal,1528.8067,GWh
December 2022,Net Electricity Production,Not Specified,178.6344,GWh
