"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1989-11",5.786294,
"AUS","HUR","TOT","PC_LF","M","1989-12",5.84748,
"AUS","HUR","TOT","PC_LF","M","1990-01",6.111265,
"AUS","HUR","TOT","PC_LF","M","1990-02",6.391342,
"AUS","HUR","TOT","PC_LF","M","1990-03",6.18468,
"AUS","HUR","TOT","PC_LF","M","1990-04",6.280381,
"AUS","HUR","TOT","PC_LF","M","1990-05",6.503875,
"AUS","HUR","TOT","PC_LF","M","1990-06",6.610183,
"AUS","HUR","TOT","PC_LF","M","1990-07",7.085927,
"AUS","HUR","TOT","PC_LF","M","1990-08",7.211292,
"AUS","HUR","TOT","PC_LF","M","1990-09",7.374189,
"AUS","HUR","TOT","PC_LF","M","1990-10",7.636679,
"AUS","HUR","TOT","PC_LF","M","1990-11",7.945438,
"AUS","HUR","TOT","PC_LF","M","1990-12",8.018394,
"AUS","HUR","TOT","PC_LF","M","1991-01",8.39828,
"AUS","HUR","TOT","PC_LF","M","1991-02",8.616404,
"AUS","HUR","TOT","PC_LF","M","1991-03",9.182086,
"AUS","HUR","TOT","PC_LF","M","1991-04",9.862726,
"AUS","HUR","TOT","PC_LF","M","1991-05",9.501784,
"AUS","HUR","TOT","PC_LF","M","1991-06",9.532248,
"AUS","HUR","TOT","PC_LF","M","1991-07",9.690391,
"AUS","HUR","TOT","PC_LF","M","1991-08",9.789618,
"AUS","HUR","TOT","PC_LF","M","1991-09",10.03259,
"AUS","HUR","TOT","PC_LF","M","1991-10",9.986665,
"AUS","HUR","TOT","PC_LF","M","1991-11",10.19732,
"AUS","HUR","TOT","PC_LF","M","1991-12",10.47274,
"AUS","HUR","TOT","PC_LF","M","1992-01",10.34791,
"AUS","HUR","TOT","PC_LF","M","1992-02",10.40458,
"AUS","HUR","TOT","PC_LF","M","1992-03",10.49578,
"AUS","HUR","TOT","PC_LF","M","1992-04",10.47245,
"AUS","HUR","TOT","PC_LF","M","1992-05",10.61807,
"AUS","HUR","TOT","PC_LF","M","1992-06",10.81298,
"AUS","HUR","TOT","PC_LF","M","1992-07",11.1243,
"AUS","HUR","TOT","PC_LF","M","1992-08",10.72187,
"AUS","HUR","TOT","PC_LF","M","1992-09",10.61655,
"AUS","HUR","TOT","PC_LF","M","1992-10",11.09063,
"AUS","HUR","TOT","PC_LF","M","1992-11",11.1357,
"AUS","HUR","TOT","PC_LF","M","1992-12",11.21642,
"AUS","HUR","TOT","PC_LF","M","1993-01",10.83351,
"AUS","HUR","TOT","PC_LF","M","1993-02",11.01402,
