"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.22165067944,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.096646976105,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.984418259725,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.905066795008,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.867799428253,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.81982763953,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.683634909434,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.404948507807,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.088932223838,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.887518530068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.924070628745,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.103441907977,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.303713814994,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.425114548865,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.418037125422,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.194251496524,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.666594826635,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.005369974856,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.4159065427175,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.0496901038525,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.8437300140401,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.7237115843948,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.6468919055057,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.5590540114071,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.4061008521992,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.1566674818759,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.8898485112642,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.7185029469993,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.7299446307887,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.8311592723295,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.9004270311924,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.8491721409554,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.7157594160142,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.5536848761457,
