"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.433308890864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.413963343589,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.256155943805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.99160890211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.835385707825,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.871837433996,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.066175747508,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.22802118291,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.395665565601,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.529576392246,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.344752448093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.755413717017,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.9151751414949,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.5170849853425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.6087608308166,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.9904797347675,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.268152567338,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.339506213048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.261060922398,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.176776666156,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.107198057667,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.033738609091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.9682593398917,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.8818780412433,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.7704485452269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.7409420234804,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.6889259306962,
